"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"RDC","Rowan Companies plc","11.24","1428253356.96","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/rdc",
"RES","RPC, Inc.","11.09","2382110285.78","n/a","n/a","Energy","Oilfield Services/Equipment","https://www.nasdaq.com/symbol/res",
"SBR","Sabine Royalty Trust","40.48","590171885.6","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/sbr",
"SJT","San Juan Basin Royalty Trust","4.64","216264813.44","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/sjt",
"SN","Sanchez Energy Corporation","0.2836","24825716.6768","n/a","2011","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/sn",
"SD","SandRidge Energy, Inc.","8.71","310890515.65","n/a","2016","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/sd",
"SDT","SandRidge Mississippian Trust I","0.935","26180000","n/a","2011","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/sdt",
"SDR","SandRidge Mississippian Trust II","1.01","50222250","n/a","2012","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/sdr",
"PER","SandRidge Permian Trust","2.16","113400000","n/a","2011","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/per",
"SSL","Sasol Ltd.","32.04","20213246694.6","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/ssl",
"SLB","Schlumberger N.V.","41.32","57220010789.2","n/a","n/a","Energy","Oilfield Services/Equipment","https://www.nasdaq.com/symbol/slb",
"SDRL","Seadrill Limited","9.53","953000000","n/a","2018","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/sdrl",
"SDLP","Seadrill Partners LLC","1.72","157933152","n/a","2012","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/sdlp",
"WTTR","Select Energy Services, Inc.","7.9","842814478.3","n/a","2017","Energy","Oilfield Services/Equipment","https://www.nasdaq.com/symbol/wttr",
"SEMG","Semgroup Corporation","16.92","1338053058","n/a","n/a","Energy","Oilfield Services/Equipment","https://www.nasdaq.com/symbol/semg",
"SHLX","Shell Midstream Partners, L.P.","18.35","4106946181.35","n/a","2014","Energy","Natural Gas Distribution","https://www.nasdaq.com/symbol/shlx",
"SBOW","SilverBow Resorces, Inc.","23.93","279791976.93","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/sbow",
"SM","SM Energy Company","19.34","2168840804.34","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/sm",
"SOI","Solaris Oilfield Infrastructure, Inc.","14.27","672603136.09","n/a","2017","Energy","Metal Fabrications","https://www.nasdaq.com/symbol/soi",
"SWN","Southwestern Energy Company","4.38","2545996685.16","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/swn",
"SRLP","Sprague Resources LP","18.58","422397292.66","n/a","2013","Energy","Oil Refining/Marketing","https://www.nasdaq.com/symbol/srlp",
"SU","Suncor Energy  Inc.","30.55","48724442424.45","n/a","n/a","Energy","Integrated oil Companies","https://www.nasdaq.com/symbol/su",
"SUN","Sunoco LP","28.81","2377218054.83","n/a","2012","Energy","Oil Refining/Marketing","https://www.nasdaq.com/symbol/sun",
"SPN","Superior Energy Services, Inc.","3.73","576397325.22","n/a","n/a","Energy","Oilfield Services/Equipment","https://www.nasdaq.com/symbol/spn",
"TALO","Talos Energy, Inc.","18.65","1010005073.2","n/a","2018","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/talo",
"FTI","TechnipFMC plc","22.59","10170033361.2","n/a","n/a","Energy","Metal Fabrications","https://www.nasdaq.com/symbol/fti",
"TTI","Tetra Technologies, Inc.","2.23","280334232.14","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/tti",
"TPL","Texas Pacific Land Trust","615.01","4781330053.94","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/tpl",
"THR","Thermon Group Holdings, Inc.","22.39","729809573.04","n/a","2011","Energy","Industrial Machinery/Components","https://www.nasdaq.com/symbol/thr",
"TOT","Total S.A.","54.3","141507546016.5","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/tot",
"TLP","TransMontaigne Partners L.P.","41.13","667503828.99","n/a","2005","Energy","Natural Gas Distribution","https://www.nasdaq.com/symbol/tlp",
"RIG","Transocean Ltd.","8.42","5132647669.36","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/rig",
"TREC","Trecora Resources","7.95","194902748.55","n/a","n/a","Energy","Integrated oil Companies","https://www.nasdaq.com/symbol/trec",
"UNT","Unit Corporation","17.13","926013814.08","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/unt",
"EGY","VAALCO Energy, Inc. ","1.78","105979202.84","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/egy",
"VLO","Valero Energy Corporation","78.95","33499135705.9","n/a","n/a","Energy","Integrated oil Companies","https://www.nasdaq.com/symbol/vlo",
"VET","Vermilion Energy Inc.","23.94","3653517610.26","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/vet",
"VOC","VOC Energy Trust","4.39","74630000","n/a","2011","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/voc",
"WTI","W&T Offshore, Inc.","5.31","738906667.38","n/a","2005","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/wti",
"HCC","Warrior Met Coal, Inc.","24.64","1299918681.6","n/a","2017","Energy","Coal Mining","https://www.nasdaq.com/symbol/hcc",
"WFT","Weatherford International plc","0.5435","544001361.9015","n/a","n/a","Energy","Metal Fabrications","https://www.nasdaq.com/symbol/wft",
"WLL","Whiting Petroleum Corporation","27.87","2536019808.57","n/a","2003","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/wll",
"WRD","WildHorse Resource Development Corporation","17.44","1778805513.76","n/a","2016","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/wrd",
"INT","World Fuel Services Corporation","23.77","1598081892.11","n/a","n/a","Energy","Oil Refining/Marketing","https://www.nasdaq.com/symbol/int",
"WPX","WPX Energy, Inc.","12.72","5346120154.8","n/a","2011","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/wpx",
"YPF","YPF Sociedad Anonima","14.61","5746299905.73","n/a","1993","Energy","Integrated oil Companies","https://www.nasdaq.com/symbol/ypf",
