DateTime,5 HK Equity,1299 HK Equity,700 HK Equity,939 HK Equity,941 HK Equity,1398 HK Equity,2318 HK Equity,3988 HK Equity,388 HK Equity,883 HK Equity,1 HK Equity,386 HK Equity,2 HK Equity,823 HK Equity,11 HK Equity,16 HK Equity,3 HK Equity,1113 HK Equity,2388 HK Equity,2628 HK Equity,27 HK Equity,857 HK Equity,688 HK Equity,1093 HK Equity,1928 HK Equity,2007 HK Equity,175 HK Equity,6 HK Equity,1109 HK Equity,762 HK Equity
5/8/2016,53.5,49.25,184.6,5.38,96.45,4.48,36.7,3.27,192.6,9.24,92.5,5.57,79.7,56.8,134,111,11.851,55.1,25.45,17.72,25.7,5.27,26,7.05,29.9,3.168,5.49,76.75,19.88,8.15
8/8/2016,54.5,49.6,188.8,5.44,97.7,4.56,37.55,3.31,194.9,9.26,94.15,5.56,80.7,57,135.3,111.9,12.033,56.5,26.05,18.14,26,5.31,26.65,7.11,30.6,3.206,5.69,77.4,20.7,8.35
9/8/2016,54.35,49.3,188.2,5.47,96.5,4.58,37.5,3.31,194,9.35,94.25,5.59,80.15,55.65,134.4,111.6,12.017,56.9,26.1,18.06,26.45,5.33,26.9,7.1,30.85,3.225,5.69,76.75,21.4,8.33
10/8/2016,54.75,49.1,188,5.54,96.05,4.64,37.25,3.3,192.1,9.36,93.95,5.58,80,56.15,134.6,110.7,11.983,57.8,26.05,18.08,27.35,5.31,27,7.2,32.45,3.196,5.44,77.65,21.05,8.25
11/8/2016,54.3,49.5,188.7,5.66,96.7,4.74,38.05,3.37,197.7,9.32,93.25,5.53,80.5,55.5,134.2,109.4,12.017,57.05,26.2,18.2,27.4,5.27,26.75,7.31,31.95,3.215,5.42,77,21.25,8.17
12/8/2016,54.6,49.35,187.8,5.69,99,4.79,39.05,3.4,197.1,9.62,95.75,5.59,80.8,54.9,134.6,111.3,12.066,54.85,26.4,18.62,28.1,5.34,26.8,7.13,32.7,3.225,5.59,77.45,21.25,8.36
15/8/2016,54.55,49.5,191.1,5.74,98.8,4.87,40.55,3.48,200.2,9.77,97.8,5.59,80.45,54.75,135.3,110.3,12.132,54.8,26.55,19.28,27.55,5.34,27.1,7.13,31.8,3.291,5.75,77.4,21.85,8.35
16/8/2016,54.2,48.6,195.4,5.74,98,4.85,40.1,3.47,200.6,9.79,97.8,5.68,80,56,136.2,108.4,12.066,55,26.4,19.34,27.75,5.39,26.9,7.03,31.65,3.225,5.75,77.15,21.4,8.39
17/8/2016,54.6,48.75,193,5.71,96.95,4.88,39.7,3.46,191.2,9.76,98.4,5.7,79.65,55.8,137,109.2,12.017,54,26.05,18.96,27.45,5.38,26.55,7.13,31.8,3.234,5.84,76.5,21.5,8.4
18/8/2016,55.2,48.75,203,5.74,98.45,4.9,40.7,3.47,191.6,9.76,98.15,5.63,79.35,56.1,137.3,110,11.967,54.4,26.15,19.04,27.4,5.34,26.75,7.09,31.8,3.406,5.55,76.45,21.75,9.05
19/8/2016,54.9,48.1,201.8,5.75,98.7,4.91,41.05,3.45,191.2,9.8,97.25,5.62,79.7,56.5,135.8,109.1,11.95,55.05,26.05,18.78,26.65,5.32,27,7.11,30.5,3.558,5.81,77,21.95,9.36
22/8/2016,55.15,48.3,204.8,5.79,97.85,4.96,40.8,3.45,191.7,9.74,98.05,5.6,79.15,56.5,135.7,110.1,12.05,55.5,26.3,18.56,26.65,5.31,26.85,7.05,31,3.643,5.76,76.95,21.85,9.24
